division,name,card,round_relative_score,round_total_score,hole_1,hole_2,hole_3,hole_4,hole_4½,hole_5,hole_6,hole_6½,hole_7,hole_8,hole_9,hole_10,hole_11,hole_12
Match,Player_20,3,-1,41,3,3,2,2,4,3,3,2,3,3,3,4,3,3
Match,Player_31,3,0,42,3,5,3,3,3,3,2,3,3,3,2,3,3,3
Match,Player_9,4,0,42,3,3,4,3,3,3,3,3,3,3,3,3,3,2
Match,Player_11,2,2,44,3,4,2,3,4,3,3,4,3,2,4,3,3,3
Match,Player_15,4,3,45,4,3,3,4,3,5,2,3,3,4,2,3,3,3
Match,Player_17,2,3,45,3,4,3,3,4,3,3,3,4,3,3,4,2,3
Match,Player_2,1,5,47,5,4,2,3,3,3,3,3,3,3,5,4,3,3
Match,Player_4,1,5,47,3,3,4,4,3,5,4,2,2,2,3,4,4,4
Match,Player_34,2,5,47,3,4,3,4,4,3,3,4,3,3,4,3,3,3
Match,Player_5,3,6,48,4,4,3,3,5,3,3,3,3,3,3,4,4,3
Match,Player_39,4,8,50,3,3,3,4,4,3,3,4,3,3,2,5,4,6
Match,Player_25,1,8,50,3,4,3,3,4,4,3,2,6,2,4,5,3,4
Match,Player_29,2,12,54,4,5,3,4,4,5,3,3,4,3,4,4,4,4
Match,Player_18,1,13,55,5,4,4,5,3,4,3,4,6,3,3,4,3,4
Match,Player_27,4,13,55,4,3,4,4,7,3,4,3,5,3,4,5,3,3
Match,Player_36,3,19,61,6,4,4,4,5,3,4,4,4,3,4,6,5,5
