division,name,card,round_relative_score,round_total_score,hole_1,hole_2,hole_3,hole_4,hole_4½,hole_5,hole_6,hole_6½,hole_7,hole_8,hole_9,hole_10,hole_11,hole_12
Match,Player_15,1,1,43,3,3,3,2,3,4,3,3,4,3,3,2,4,3
Match,Player_39,3,2,44,3,4,3,2,3,4,2,3,5,3,3,3,3,3
Match,Player_2,1,2,44,3,3,3,3,3,3,3,3,3,3,3,5,4,2
Match,Player_17,2,2,44,3,3,3,3,5,3,3,3,3,2,2,5,2,4
Match,Player_11,2,3,45,3,3,3,3,5,4,2,3,3,3,3,4,3,3
Match,Player_25,1,3,45,3,4,2,3,4,4,2,3,3,3,4,3,3,4
Match,Player_34,3,5,47,4,3,3,4,3,3,4,4,4,2,4,3,3,3
Match,Player_20,2,10,52,3,3,3,7,3,5,3,4,4,3,3,4,4,3
Match,Player_19,1,11,53,4,4,3,3,3,5,4,3,4,4,4,4,4,4
Match,Player_5,3,12,54,5,5,3,4,5,4,3,4,5,2,3,4,4,3
Match,Player_29,2,15,57,6,4,3,5,4,5,3,4,4,3,4,5,4,3
