division,name,card,round_relative_score,round_total_score,hole_1,hole_2,hole_3,hole_4,hole_4½,hole_5,hole_6,hole_6½,hole_7,hole_8,hole_9,hole_10,hole_11,hole_12
Match,Player_39,4,-1,41,3,3,2,3,5,3,3,2,2,3,3,3,3,3
Match,Player_17,3,-1,41,3,3,2,2,3,5,3,3,3,2,3,4,3,2
Match,Player_15,4,2,44,3,5,2,3,4,3,3,3,2,3,3,4,3,3
Match,Player_13,4,4,46,3,4,3,3,4,4,2,3,4,3,3,4,3,3
Match,Player_20,2,4,46,4,3,3,5,3,3,3,3,3,4,3,3,3,3
Match,Player_41,2,4,46,3,4,4,4,2,4,3,3,3,3,3,3,4,3
Match,Player_11,2,5,47,3,4,3,4,2,4,3,3,4,3,2,4,5,3
Match,Player_2,1,6,48,5,3,2,3,3,4,3,4,4,3,3,5,3,3
Match,Player_4,3,6,48,4,3,2,4,5,2,4,2,4,2,3,4,4,5
Match,Player_25,1,8,50,4,3,3,4,4,4,3,3,4,4,4,4,3,3
Match,Player_5,3,11,53,4,3,3,4,5,5,3,3,4,4,3,4,5,3
Match,Player_29,1,15,57,4,3,2,4,5,5,4,6,3,3,3,6,5,4
