division,name,card,round_relative_score,round_total_score,hole_1,hole_2,hole_3,hole_4,hole_4½,hole_5,hole_6,hole_6½,hole_7,hole_8,hole_9,hole_10,hole_11,hole_12
Match,Player_13,2,-2,40,3,2,3,2,3,3,4,3,3,2,2,3,4,3
Match,Player_15,4,-2,40,3,2,3,3,4,3,2,3,2,3,3,4,3,2
Match,Player_41,4,1,43,3,3,2,3,4,3,2,3,3,4,3,4,3,3
Match,Player_39,1,2,44,3,3,2,3,3,3,3,2,3,3,4,4,4,4
Match,Player_4,3,2,44,3,3,3,3,4,4,3,3,3,3,3,3,3,3
Match,Player_2,4,3,45,3,4,2,3,5,3,3,4,3,2,3,4,3,3
Match,Player_9,3,5,47,3,3,4,3,3,4,3,5,3,3,3,3,4,3
Match,Player_11,1,6,48,3,4,2,3,4,4,3,3,3,4,4,4,3,4
Match,Player_20,1,6,48,3,4,2,3,3,3,3,3,4,4,4,3,5,4
Match,Player_25,3,6,48,4,4,3,3,4,3,3,4,3,2,3,4,4,4
Match,Player_34,2,6,48,4,4,3,3,4,4,3,3,2,3,3,4,4,4
Match,Player_5,3,9,51,4,4,3,4,3,4,3,4,4,3,4,4,4,3
Match,Player_42,2,11,53,4,3,3,4,4,4,3,5,4,4,4,4,4,3
