division,name,card,round_relative_score,round_total_score,hole_1,hole_2,hole_3,hole_4,hole_4½,hole_5,hole_6,hole_6½,hole_7,hole_8,hole_9,hole_10,hole_11,hole_12
Match,Player_4,1,-1,41,3,3,3,4,2,3,3,3,3,2,3,3,3,3
Match,Player_13,3,-1,41,3,4,2,3,3,3,3,3,4,3,2,3,3,2
Match,Player_17,2,-1,41,3,3,2,3,3,3,3,2,5,3,2,3,2,4
Match,Player_34,1,0,42,3,3,2,2,4,4,3,3,4,2,3,3,3,3
Match,Player_39,2,2,44,3,4,2,3,5,3,3,4,3,3,2,3,3,3
Match,Player_15,1,2,44,3,3,3,4,3,3,4,3,3,2,3,5,3,2
Match,Player_2,1,3,45,4,4,2,3,4,2,3,3,3,4,3,4,3,3
Match,Player_20,3,5,47,3,4,3,2,3,4,5,3,3,3,4,3,3,4
Match,Player_25,3,6,48,5,3,3,3,5,3,3,3,4,3,3,4,3,3
Match,Player_11,2,8,50,4,4,2,4,5,4,3,4,4,3,3,3,3,4
Match,Player_5,2,11,53,4,3,3,4,5,3,3,3,4,4,4,3,5,5
