division,name,card,round_relative_score,round_total_score,hole_1,hole_2,hole_3,hole_4,hole_4½,hole_5,hole_6,hole_6½,hole_7,hole_8,hole_9,hole_10,hole_11,hole_12
Match,Player_9,2,0,42,3,3,2,3,4,3,3,2,3,3,4,3,3,3
Match,Player_16,3,1,43,2,4,3,3,4,3,4,2,3,4,3,3,2,3
Match,Player_2,2,2,44,3,3,3,3,3,3,3,3,3,3,3,4,3,4
Match,Player_4,1,2,44,5,3,3,3,3,4,2,3,2,4,3,3,3,3
Match,Player_11,1,4,46,3,3,3,3,3,4,2,3,5,3,4,3,3,4
Match,Player_35,1,4,46,4,3,3,5,5,3,3,3,3,3,3,3,3,2
Match,Player_38,3,4,46,5,3,3,4,5,3,3,3,4,2,3,3,3,2
Match,Player_34,2,8,50,4,4,2,3,4,5,3,4,4,4,4,3,3,3
Match,Player_33,3,9,51,3,5,3,4,4,3,4,3,4,3,4,4,4,3
Match,Player_25,1,10,52,4,4,3,4,4,5,4,4,4,3,3,4,3,3
